Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
194.6,0,0,302521,178183,161207,152067,141819,138502,128005,124576,118628,113662,108962,104103,99121.7,94523,93715.2,90690.9,86760.8,83359.3,81783.1,76684.8,73694.6,72337.3,68591.8,65264.8,63823.3,59340,58732
201.7,0,0,264108,153207,137573,132447,124694,119100,112881,107082,102640,99657.9,95845.3,91862.9,87299.9,83494.4,82399,81336.8,78166.2,74418.9,73418.9,70376.1,66301.4,65436.8,62058.1,59941.6,57935,54676.3,52000.9
209.1,0,0.97832,221005,129287,117345,110080,106090,100757,95904.3,92980.6,90421,87007.6,83472.2,80489.7,76925.9,73428,71821.8,70831.4,69096.6,66026.7,65594.3,62072.9,59508.8,58696.5,55089.5,53839.3,51106.9,50328.9,47038
216.7,0,4.65917,187358,106001,96257.8,92739.2,89207.3,86947,81865.1,80312.8,76963.6,73965.1,70523.1,70279.6,65368.3,64229.2,61897.6,62088.9,59745.1,57856.7,56340,54768,51967.7,52154.2,48344.2,46580.1,44792.7,44157.3,41844.3
224.7,0,0,148358,86976.2,79131.9,76908.1,73164.2,71255.2,69715.4,67300.7,64800.2,63883.7,60320.2,58260.6,55868,54054.8,53912.2,52476.1,51899.8,49875.6,48346.1,47173.5,44965.9,45325.4,41968.2,40861.3,40302.9,38604.3,36827.9
232.9,0,0,112522,70174.4,64906,63128.3,58969.8,57996.1,55382.1,54006.2,51828.7,52912.9,51217.9,49304,46984.9,46484.9,45871.7,45240.5,44425.7,42856.3,41481.3,39990.4,38476.4,39294.1,36494.8,35045.2,34635.7,32702.9,31707.9
241.4,5.82431,0,88805.8,56909.4,51268.3,50657.6,48171,48136.3,44561.2,45251.3,44422,42623.3,42924.6,41003.9,39740.1,37710.2,38113,37830.1,37764.7,36781.3,34640.1,33144.6,33504.9,33315.9,31104.1,30532.8,29298.7,28061.1,28376.6
250.3,0,0,70278.9,44062.7,41168,38946.4,37604.3,38187.8,35847.9,36079.5,34995,34840.8,34538.3,33893,31735.6,30645.7,31602.4,31220.6,31455.7,29939.4,29280.5,27994.4,27715.2,27030.7,26398.4,25417.5,24957.1,23786.9,23326.6
259.5,0,0,54760.5,34556.4,31970.3,30800.9,30190.7,29669.7,28931.4,28104.4,27633.9,27963.7,28118.8,27050.8,25726.9,25314.9,24737.6,25208.9,24247.1,24700.2,23800.6,22528.5,21752.8,22831.2,21623.6,21238.2,20400.6,19805.8,19668.6
269.0,0,0,40070.2,25379,24482,22973.6,22068.1,22901.5,21894.2,21949.9,21798.3,21605.6,21147.2,20749,20239.7,20125.9,20300.8,20226,20035,19856.4,19086.1,19093.5,18347.2,18885,17612.6,17882.7,17710.9,16127.4,16466.8
